STATcube

"Population at the beginning of the year since 1982 (Q)"
"Time section and Bundesland"
"Counting: Number"

Filters:
"Default Summation","Number"


"Time section","Bundesland",
,"Carinthia <AT21>",559277,,
,"Lower Austria <AT12>",1580501,,
,"Upper Austria <AT31>",1400287,,
,"Salzburg <AT32>",524920,,
,"Styria <AT22>",1200854,,
,"Tyrol <AT33>",694253,,
,"Vorarlberg <AT34>",362630,,
,"Vienna <AT13>",1652449,,
"2007","Burgenland <AT11>",280062,,
,"Carinthia <AT21>",559393,,
,"Lower Austria <AT12>",1588567,,
,"Upper Austria <AT31>",1403663,,
,"Salzburg <AT32>",526048,,
,"Styria <AT22>",1202483,,
,"Tyrol <AT33>",697253,,
,"Vorarlberg <AT34>",364269,,
,"Vienna <AT13>",1661246,,
"2008","Burgenland <AT11>",280977,,
,"Carinthia <AT21>",559715,,
,"Lower Austria <AT12>",1595503,,
,"Upper Austria <AT31>",1405762,,
,"Salzburg <AT32>",525944,,
,"Styria <AT22>",1203701,,
,"Tyrol <AT33>",699588,,
,"Vorarlberg <AT34>",365578,,
,"Vienna <AT13>",1671221,,
"2009","Burgenland <AT11>",282777,,
,"Carinthia <AT21>",559462,,
,"Lower Austria <AT12>",1602958,,
,"Upper Austria <AT31>",1408619,,
,"Salzburg <AT32>",526699,,
,"Styria <AT22>",1204795,,
,"Tyrol <AT33>",702502,,
,"Vorarlberg <AT34>",367056,,
,"Vienna <AT13>",1680135,,
"2010","Burgenland <AT11>",283697,,
,"Carinthia <AT21>",557998,,
,"Lower Austria <AT12>",1605897,,
,"Upper Austria <AT31>",1409253,,
,"Salzburg <AT32>",526730,,
,"Styria <AT22>",1205045,,
,"Tyrol <AT33>",704662,,
,"Vorarlberg <AT34>",368366,,
,"Vienna <AT13>",1689995,,
"2011","Burgenland <AT11>",284581,,
,"Carinthia <AT21>",556718,,
,"Lower Austria <AT12>",1609474,,
,"Upper Austria <AT31>",1410222,,
,"Salzburg <AT32>",527886,,
,"Styria <AT22>",1206611,,
,"Tyrol <AT33>",707517,,
,"Vorarlberg <AT34>",369300,,
,"Vienna <AT13>",1702855,,
"2012","Burgenland <AT11>",285782,,
,"Carinthia <AT21>",556027,,
,"Lower Austria <AT12>",1614455,,
,"Upper Austria <AT31>",1413866,,
,"Salzburg <AT32>",529704,,
,"Styria <AT22>",1208696,,
,"Tyrol <AT33>",711581,,
,"Vorarlberg <AT34>",370926,,
,"Vienna <AT13>",1717084,,
"2013","Burgenland <AT11>",286691,,
,"Carinthia <AT21>",555473,,
,"Lower Austria <AT12>",1618592,,
,"Upper Austria <AT31>",1418498,,
,"Salzburg <AT32>",531898,,
,"Styria <AT22>",1210971,,
,"Tyrol <AT33>",715888,,
,"Vorarlberg <AT34>",372603,,
,"Vienna <AT13>",1741246,,
"2014","Burgenland <AT11>",287416,,
,"Carinthia <AT21>",555881,,
,"Lower Austria <AT12>",1625485,,
,"Upper Austria <AT31>",1425422,,
,"Salzburg <AT32>",534270,,
,"Styria <AT22>",1215246,,
,"Tyrol <AT33>",722038,,
,"Vorarlberg <AT34>",375282,,
,"Vienna <AT13>",1766746,,
"2015","Burgenland <AT11>",288356,,
,"Carinthia <AT21>",557641,,
,"Lower Austria <AT12>",1636778,,
,"Upper Austria <AT31>",1437251,,
,"Salzburg <AT32>",538575,,
,"Styria <AT22>",1221570,,
,"Tyrol <AT33>",728826,,
,"Vorarlberg <AT34>",378592,,
,"Vienna <AT13>",1797337,,
"2016","Burgenland <AT11>",291011,,
,"Carinthia <AT21>",560482,,
,"Lower Austria <AT12>",1653691,,
,"Upper Austria <AT31>",1453948,,
,"Salzburg <AT32>",545815,,
,"Styria <AT22>",1232012,,
,"Tyrol <AT33>",739139,,
,"Vorarlberg <AT34>",384147,,
,"Vienna <AT13>",1840226,,
"2017","Burgenland <AT11>",291942,,
,"Carinthia <AT21>",561077,,
,"Lower Austria <AT12>",1665753,,
,"Upper Austria <AT31>",1465045,,
,"Salzburg <AT32>",549263,,
,"Styria <AT22>",1237298,,
,"Tyrol <AT33>",746153,,
,"Vorarlberg <AT34>",388752,,
,"Vienna <AT13>",1867582,,
"2018","Burgenland <AT11>",292675,,
,"Carinthia <AT21>",560898,,
,"Lower Austria <AT12>",1670668,,
,"Upper Austria <AT31>",1473576,,
,"Salzburg <AT32>",552579,,
,"Styria <AT22>",1240214,,
,"Tyrol <AT33>",751140,,
,"Vorarlberg <AT34>",391741,,
,"Vienna <AT13>",1888776,,
"2019","Burgenland <AT11>",293433,,
,"Carinthia <AT21>",560939,,
,"Lower Austria <AT12>",1677542,,
,"Upper Austria <AT31>",1482095,,
,"Salzburg <AT32>",555221,,
,"Styria <AT22>",1243052,,
,"Tyrol <AT33>",754705,,
,"Vorarlberg <AT34>",394297,,
,"Vienna <AT13>",1897491,,
"2020","Burgenland <AT11>",294436,,
,"Carinthia <AT21>",561293,,
,"Lower Austria <AT12>",1684287,,
,"Upper Austria <AT31>",1490279,,
,"Salzburg <AT32>",558410,,
,"Styria <AT22>",1246395,,
,"Tyrol <AT33>",757634,,
,"Vorarlberg <AT34>",397139,,
,"Vienna <AT13>",1911191,,
"2021","Burgenland <AT11>",296010,,
,"Carinthia <AT21>",562089,,
,"Lower Austria <AT12>",1690879,,
,"Upper Austria <AT31>",1495608,,
,"Salzburg <AT32>",560710,,
,"Styria <AT22>",1247077,,
,"Tyrol <AT33>",760105,,
,"Vorarlberg <AT34>",399237,,
,"Vienna <AT13>",1920949,,
"2022","Burgenland <AT11>",297583,,
,"Carinthia <AT21>",564513,,
,"Lower Austria <AT12>",1698796,,
,"Upper Austria <AT31>",1505140,,
,"Salzburg <AT32>",562606,,
,"Styria <AT22>",1252922,,
,"Tyrol <AT33>",764102,,
,"Vorarlberg <AT34>",401674,,
,"Vienna <AT13>",1931593,,
"2023","Burgenland <AT11>",301250,,
,"Carinthia <AT21>",568984,,
,"Lower Austria <AT12>",1718373,,
,"Upper Austria <AT31>",1522825,,
,"Salzburg <AT32>",568346,,
,"Styria <AT22>",1265198,,
,"Tyrol <AT33>",771304,,
,"Vorarlberg <AT34>",406395,,
,"Vienna <AT13>",1982097,,
"2024","Burgenland <AT11>",301951,,
,"Carinthia <AT21>",569744,,
,"Lower Austria <AT12>",1723723,,
,"Upper Austria <AT31>",1530349,,
,"Salzburg <AT32>",571479,,
,"Styria <AT22>",1269801,,
,"Tyrol <AT33>",775970,,
,"Vorarlberg <AT34>",409973,,
,"Vienna <AT13>",2005760,,
"2025","Burgenland <AT11>",301790,,
,"Carinthia <AT21>",570095,,
,"Lower Austria <AT12>",1727514,,
,"Upper Austria <AT31>",1535519,,
,"Salzburg <AT32>",572846,,
,"Styria <AT22>",1271716,,
,"Tyrol <AT33>",777660,,
,"Vorarlberg <AT34>",411784,,
,"Vienna <AT13>",2028289,,


Symbol,Description
"Q","STATcube – Statistical Database of STATISTICS AUSTRIA"
"Population at the beginning of the year since 1982",".) Origin of data Until 2001, statistics on vital events was based on the results population estimates carried out starting from the state of the last population census on the basis of demographic equation. The population figure was estimated on the basis of provinces according to age, sex and four groups of nationalities. Since 2002, vital events statistics has been based on the registrations of main residences quarterly transmitted by the Central register of residents (CRR). These data are constantly stored within a demographic database system and analysed together with the data on change of main residence (migration statistics) according to demographic criteria. The resident population consists of persons staying at least 90 days (including key day) at a place (registration of main residence). -) Important note .) Regarding the period between 1982 and 2001 only the fields age, sex, .) province and nationality (low-level breakdown) are available. All other fields (detailed nationality and country of birth as well as regional breakdown on the level of NUTS 3 regions, political districts or communes) are available as of 2002 only. On selecting a combination of fields which is not available you receive a report X ""No cross-table allowed“. Other Metadata: https://www.statistik.at/fileadmin/shared/QM/Standarddokumentationen/B_en/engl_std_b_bevoelkerungsstand.pdf .) Updating Annually end of May/beginning of June referring to the demographic situation at the beginning of the current year. Last updating: [2025-05-26] .) Documentation Social Statistics Directorate - Demography General inquiries: Ph.: +43 1 711 28–7070 For special inquiries please write to demographie@statistik.gv.at"


(c) Copyright Statistics Austria
